Data: training: 60000; test: 10000
Epoch 1/2
1875/1875 - 4s - 2ms/step - accuracy: 0.8249 - loss: 0.4969
Epoch 2/2
1875/1875 - 3s - 1ms/step - accuracy: 0.8651 - loss: 0.3713
Model trained for 2 epochs on dataset fashion_mnist.
Model parameters: {'verbose': 2, 'epochs': 2, 'steps': 1875}
Model accuracies per epoch: [0.8248666524887085, 0.865149974822998]
Model losses per epoch: [0.4969201385974884, 0.3712959885597229]
1875/1875 - 2s - 925us/step - accuracy: 0.8763 - loss: 0.3402
313/313 - 0s - 1ms/step - accuracy: 0.8567 - loss: 0.3958
Training eval: {'accuracy': 0.8763333559036255, 'loss': 0.34023454785346985}
Test eval: {'accuracy': 0.8567000031471252, 'loss': 0.39578256011009216}
313/313 - 0s - 782us/step
EMM type(predictions)=<class 'numpy.ndarray'>
313/313 - 0s - 775us/step
EMM expected_label='Ankle boot', predicted_label='Ankle boot'
EMM expected_label='Pullover', predicted_label='Pullover'
EMM expected_label='Trouser', predicted_label='Trouser'
EMM expected_label='Trouser', predicted_label='Trouser'
EMM expected_label='Shirt', predicted_label='Shirt'
EMM expected_label='Trouser', predicted_label='Trouser'
EMM expected_label='Coat', predicted_label='Coat'
EMM expected_label='Shirt', predicted_label='Shirt'
EMM expected_label='Sandal', predicted_label='Sandal'
EMM expected_label='Sneaker', predicted_label='Sneaker'
EMM expected_label='Coat', predicted_label='Coat'
EMM expected_label='Sandal', predicted_label='Sandal'
EMM expected_label='Sneaker', predicted_label='Sandal'
EMM expected_label='Dress', predicted_label='Dress'
EMM expected_label='Coat', predicted_label='Coat'
EMM expected_label='Trouser', predicted_label='Trouser'
EMM expected_label='Pullover', predicted_label='Pullover'
EMM expected_label='Coat', predicted_label='Pullover'
EMM expected_label='Bag', predicted_label='Bag'
EMM expected_label='T-shirt/top', predicted_label='T-shirt/top'
EMM expected_label='Pullover', predicted_label='Pullover'
EMM expected_label='Sandal', predicted_label='Sandal'
EMM expected_label='Sneaker', predicted_label='Sneaker'
EMM expected_label='Ankle boot', predicted_label='Sandal'
EMM expected_label='Trouser', predicted_label='Trouser'
EMM expected_label='Coat', predicted_label='Pullover'
EMM expected_label='Shirt', predicted_label='Shirt'
EMM expected_label='T-shirt/top', predicted_label='T-shirt/top'
EMM expected_label='Ankle boot', predicted_label='Ankle boot'
EMM expected_label='Dress', predicted_label='Coat'
EMM expected_label='Bag', predicted_label='Bag'
EMM expected_label='Bag', predicted_label='Bag'
EMM expected_label='Dress', predicted_label='Dress'
EMM expected_label='Dress', predicted_label='Dress'
EMM expected_label='Bag', predicted_label='Bag'
EMM expected_label='T-shirt/top', predicted_label='T-shirt/top'
EMM expected_label='Sneaker', predicted_label='Sneaker'
EMM expected_label='Sandal', predicted_label='Sandal'
EMM expected_label='Sneaker', predicted_label='Sneaker'
EMM expected_label='Ankle boot', predicted_label='Ankle boot'
EMM expected_label='Shirt', predicted_label='T-shirt/top'
EMM expected_label='Trouser', predicted_label='Trouser'
EMM expected_label='Dress', predicted_label='Shirt'
EMM expected_label='Sneaker', predicted_label='Ankle boot'
EMM expected_label='Shirt', predicted_label='Shirt'
EMM expected_label='Sneaker', predicted_label='Ankle boot'
EMM expected_label='Pullover', predicted_label='Pullover'
EMM expected_label='Trouser', predicted_label='Trouser'
EMM expected_label='Pullover', predicted_label='Pullover'
EMM expected_label='Pullover', predicted_label='Shirt'
EMM expected_label='Coat', predicted_label='Pullover'
EMM expected_label='Coat', predicted_label='Pullover'
EMM expected_label='Sandal', predicted_label='Sandal'
EMM expected_label='Bag', predicted_label='Bag'
EMM expected_label='Pullover', predicted_label='Pullover'
EMM expected_label='Pullover', predicted_label='Pullover'
EMM expected_label='Bag', predicted_label='Bag'
EMM expected_label='Coat', predicted_label='Shirt'
EMM expected_label='Bag', predicted_label='Bag'
EMM expected_label='T-shirt/top', predicted_label='T-shirt/top'
EMM expected_label='Sneaker', predicted_label='Sneaker'
EMM expected_label='Sneaker', predicted_label='Sneaker'
EMM expected_label='Bag', predicted_label='Bag'
EMM expected_label='Sandal', predicted_label='Sandal'
EMM expected_label='Trouser', predicted_label='Trouser'
EMM expected_label='Trouser', predicted_label='Trouser'
EMM expected_label='Pullover', predicted_label='T-shirt/top'
EMM expected_label='Dress', predicted_label='Coat'
EMM expected_label='Ankle boot', predicted_label='Sneaker'
EMM expected_label='Bag', predicted_label='Bag'
EMM expected_label='Sneaker', predicted_label='Sneaker'
EMM expected_label='T-shirt/top', predicted_label='T-shirt/top'
EMM expected_label='Pullover', predicted_label='Pullover'
EMM expected_label='Shirt', predicted_label='Shirt'
EMM expected_label='Pullover', predicted_label='Pullover'
EMM expected_label='Dress', predicted_label='Dress'
EMM expected_label='Trouser', predicted_label='Trouser'
EMM expected_label='Pullover', predicted_label='Pullover'
EMM expected_label='Bag', predicted_label='Bag'
EMM expected_label='Coat', predicted_label='Coat'
EMM expected_label='Trouser', predicted_label='Trouser'
EMM expected_label='Bag', predicted_label='Bag'
EMM expected_label='Sandal', predicted_label='Sandal'
EMM expected_label='Ankle boot', predicted_label='Ankle boot'
EMM expected_label='Sandal', predicted_label='Sandal'
EMM expected_label='T-shirt/top', predicted_label='T-shirt/top'
EMM expected_label='Dress', predicted_label='Dress'
EMM expected_label='Pullover', predicted_label='Pullover'
EMM expected_label='T-shirt/top', predicted_label='T-shirt/top'
EMM expected_label='Shirt', predicted_label='Shirt'
EMM expected_label='Sandal', predicted_label='Sandal'
EMM expected_label='Dress', predicted_label='Dress'
EMM expected_label='Shirt', predicted_label='Shirt'
EMM expected_label='Sneaker', predicted_label='Sneaker'
EMM expected_label='Trouser', predicted_label='Trouser'
EMM expected_label='Bag', predicted_label='Bag'
EMM expected_label='T-shirt/top', predicted_label='T-shirt/top'
EMM expected_label='Trouser', predicted_label='Trouser'
EMM expected_label='Coat', predicted_label='Shirt'
EMM expected_label='Pullover', predicted_label='Pullover'
EMM expected_label='Dress', predicted_label='Dress'
EMM expected_label='Shirt', predicted_label='Shirt'
